,date,policy_type,start_stop,comments,total_phases,state
233,2020-07-13,Mask Requirement,start,"Policy_Details: Public Health Order by Secretary of the State of New Mexico Department of Health renewing/amending previous orders: Unless a healthcare provider instructs otherwise, all individuals must wear a face covering in public settings except when eating, drinking or swimming.  Strengthens previous mask requirement.   Source information: https://cv.nmhealth.org/wp-content/uploads/2020/07/7.13.20-PHO-1.pdf",,NM
237,2020-06-03,Houses of Worship,start,"Policy_Details: Governor Greg Abbot Executive Order GA-26: 50% capacity open allowed for all TX establishments, and some activities are exempt from this occupancy requirement: there is no occupancy limit for houses or worship Phase Level: 3, Phase Details Source information: https://gov.texas.gov/uploads/files/press/EO-GA-26_expanded_opening_COVID-19.pdf",,TX
238,2020-04-03,Shelter in Place,start,State Policy Start,,FL
241,2020-04-24,Mandate Face Mask Use By All Individuals In Public Spaces,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,AK
245,2020-03-20,Allow Audio Only Telehealth,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,MT
247,2020-05-16,Phase 2,start,"Policy_Details: All vulnerable Idahoans should continue to self-isolate. Gatherings, both public and private, of less than 10 people, where appropriate physical distancing and precautionary measures are observed can occur. Hair salons open if ability to meet business protocols. Indoor gyms and recreation facilities can open if ability to meet business protocols. Restaurant dining rooms can open once their plans have been submitted for approval by local public health districts. Nightclubs remain closed. Nightclubs should develop plans for reopening as a bar in Stage 3 with ability to meet business protocols and without close contact activities such as dancing. Bars remain closed. Bars should develop plans for reopening and ability to meet business protocols in order to open in stage 3. Large venues (e.g., movie theaters, and sporting venues) are closed. Phase Level: 2, Phase Details Source information: https://coronavirus.idaho.gov/wp-content/uploads/2020/05/stay-healthy-order-stage2.pdf",,ID
250,2020-03-24,Shelter in Place,start,State Policy Start,,OK
254,2020-03-19,Suspended Elective Medical Dental Procedures,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,LA
255,2020-03-16,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
256,2020-04-07,Shelter in Place,start,"Stay at home , effective April 7 at 5 p.m.",,SC
258,2020-05-08,Day Care,start,"Policy_Details: Executive order signed by governor, statewide. Child care facilities can be open during Phase 1, subject to strict cleaning protocols, to serve families of parents who are working or looking for work. Summer day camps can operate in compliance with state guidelines. Phase Level: 1, Phase Details Source information: https://files.nc.gov/governor/documents/files/EO121-Stay-at-Home-Order-3.pdf",3.0,NC
261,2020-06-12,Day Care,start,"Policy_Details: childcare : open 
youth day camps : open provided (i) employee screening procedure, (ii) camper screening procedure, (iii) face coverings for adults & campers over age 2 (recommended), (iv) CDC guidance re: adult-child ratio (recommended), and (v) sport-themed camp adherence to sports directives (i.e. no contact until June 19) 
overnight camps : closed 
facilities : school facilities open for childcare & youth day camps    Source information: https://www.in.gov/gov/files/Executive%20Order%2020-32%20(Stage%204).pdf",,IN
262,2020-03-06,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IN
269,2020-04-15,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,DC
270,2020-03-18,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,KY
271,2020-09-21,Outdoor and Recreation,start,"Policy_Details: Subject to local regulation, outdoor recreational facilities may open to the general public. Indoor recreational facilities may open to the general public if they do not exceed 50% of max capacity.   Source information: https://governor.maryland.gov/wp-content/uploads/2020/09/Gatherings-13th-AMENDED-9.18.20.pdf",,MD
272,2020-03-30,Allow Expand Medicaid Telehealth Coverage,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IN
273,2020-07-30,Gatherings,start,Policy_Details: mass gatherings remain limited to 10 people    Source information: https://coronavirus.ohio.gov/wps/portal/gov/covid-19/resources/news-releases-news-you-can-use/covid-19-update-07-30-20,,OH
276,2020-03-10,Reopened ACA Enrollment Using a Special Enrollment Period,start,"Other measures and details for this policy include: alcohol liquor stores open, paid sick leave",,WA
277,2020-03-12,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,WI
280,2020-05-01,Mandate Face Mask Use By All Individuals In Public Facing Businesses,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,WY
281,2020-03-16,Order Freezing Utility Shut Offs,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,VA
282,2020-03-16,Nursing Homes,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,NH
284,2020-03-16,Gyms,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, paid sick leave",,NJ
287,2020-05-22,Houses of Worship,start,"Policy_Details: On May 22, the state entered phase 2. Gatherings are limited to 10 people indoors and 25 people outdoors. The phase will last until at least June 26. Phase Level: 2, Phase Details Source information: https://www.washingtonpost.com/graphics/2020/national/states-reopening-coronavirus-map/",3.0,NC
288,2020-07-24,Colleges & Universities,start,"Policy_Details: Governor Justice issued EO No. 56-20 that allows all of West Virginia's public and private colleges & universities to reopen for fall semester Phase Level: 2, Phase Details Source information: https://governor.wv.gov/News/press-releases/2020/Pages/COVID-19-UPDATE-Gov-Justice-issues-order-permitting-colleges-and-universities-to-reopen.aspx",,WV
289,2020-05-04,Childcare (K-12),start,"Policy_Details: K-12 educational institutions (public or private) remain closed through June 30, 2020 Phase Level: 2, Phase Details Source information: https://www.in.gov/gov/files/Executive%20Order%2020-26%20Roadmap%20to%20Reopen.pdf ; https://www.backontrack.in.gov/files/BackOnTrack-IN_WhatsOpen-Closed-stage2.pdf",5.0,IN
291,2020-03-27,Shelter in Place,start,Policy_Details   Source information: Email from Rachel Lancaster,,UT
292,2020-03-09,State of Emergency,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,IA
296,2020-04-23,Stop Initiation Of Evictions Overall Or Due To Covid Related Issues,start,"Other measures and details for this policy include: alcohol liquor stores open, keep firearms sellers open",,IL
300,0020-05-08,Resumed Elective Medical Procedures,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, keep firearms sellers open, made effort to limit abortion access",,TX
303,2020-06-01,Phase 2,start,Policy_Details: All industries: practice social distancing Retail: 25% capacity No stated capacity limits on any other industries.   Source information: https://health.mo.gov/living/healthcondiseases/communicable/novel-coronavirus/pdf/economic-reopening61-15.pdf,,MO
304,2020-05-01,Entertainment,start,"Policy_Details: drive-in movie theaters open
 Phase Level: 1, Phase Details Source information: https://www.maine.gov/covid19/restartingmaine",3.0,ME
305,2020-06-30,Phase 4,start,"Policy_Details: Higher Education
Low-Risk Outdoor Arts & Entertainment
Low-Risk Indoor Arts & Entertainment
Media Production
Professional Sports Competitions With No Fans   Source information: https://www.governor.ny.gov/news/governor-cuomo-announces-capital-region-cleared-global-public-health-experts-enter-phase-4",,NY
306,2020-04-06,Modify Medicaid Requirements With 1135 Waivers Date Of CMS Approval,start,"Other measures and details for this policy include: religious gatherings exempt without clear social distance mandate, alcohol liquor stores open, paid sick leave",,MI
308,2020-05-09,Houses of Worship,start,"Policy_Details: Order by Dept of Health, Cabinet for Health and Family Services, signed by Commissioner of Health: Houses of worship may reopen with safety measures/social distancing at no more than 33% capacity; Mass gatherings order does not apply to them.   Phase Level: 2, Phase Details Source information: https://govsite-assets.s3.amazonaws.com/M0wewsTiSoSeuiMVdySy_CHFS%20-%205-9-2020%20Order%20and%20Guidance-1-.pdf",,KY
